Material,UndDoItem,QtdePedida,QtdePedUnd,QtdeAtendida,QtdeAtendUnd,DtCriacao,DtEntrada,Custo,data_extracao,codigo_loja
2897266,"25,00","34,00","12,00","25,00","12,00",20220820,20220827,"36,79",20220914,29
3100447,"25,00","34,00","12,00","25,00","12,00",20220921,20220926,"23,92",20221005,72
3129440,"30,00","39,00","12,00","30,00","12,00",20220902,20220908,"27,42",20221005,6
3147485,"19,00","28,00","12,00","19,00","12,00",20220914,20220919,"47,04",20221005,11
3146686,"14,00","24,00","13,00","15,00","13,00",20220922,20220929,"249,1",20221004,82
3134935,"27,00","36,00","12,00","27,00","12,00",20220918,00000000,"23,94",20220925,98
3125797,"16,00","31,00","14,00","22,00","14,00",20220829,20220901,"93,38000000000001",20220925,19
3122490,"29,00","38,00","12,00","29,00","12,00",20220919,00000000,"24,69",20220925,77
3144806,"21,00","30,00","12,00","21,00","12,00",20220905,20220909,"57,0",20220920,39
2947674,"25,00","34,00","12,00","25,00","12,00",20220829,20220902,"23,83",20220920,27
3129054,"25,00","34,00","12,00","25,00","12,00",20220916,00000000,"28,34",20220920,35
1031001,"18,00","27,00","12,00","18,00","12,00",20220905,20220913,"27,0",20220918,11
3137657,"14,00","26,00","15,00","17,00","15,00",20220826,20220830,"82,38",20220918,17
3124362,"30,00","56,00","13,00","47,00","13,00",20220908,20220912,"25,46",20220918,30
3146062,"43,00","112,00","14,00","103,00","14,00",20220924,00000000,"24,509999999999998",20221001,29
3132878,"14,00","23,00","12,00","14,00","12,00",20220928,20221006,"334,9",20221009,37
3136616,"14,00","24,00","13,00","15,00","13,00",20220913,20220921,"35,91",20221001,34
3136675,"29,00","86,00","15,00","77,00","15,00",20220923,20220926,"25,18",20221001,72
1033558,"15,00","24,00","12,00","15,00","12,00",20220713,00000000,"44,59",20220719,50
3145651,"29,00","70,00","14,00","61,00","14,00",20220715,00000000,"23,31",20220719,9
2864449,"37,00","46,00","12,00","37,00","12,00",20220927,20221005,"27,21",20221009,110
3136656,"14,00","24,00","13,00","15,00","13,00",20220909,20220927,"40,489999999999995",20221009,96
3130043,"37,00","142,00","16,00","133,00","16,00",20220924,20220930,"32,129999999999995",20221009,57
3128957,"14,00","27,00","16,00","18,00","16,00",20220923,20220926,"180,85",20221009,19
1032151,"19,00","28,00","12,00","19,00","12,00",20220905,20220910,"34,46",20220927,44
3129054,"25,00","46,00","13,00","37,00","13,00",20220918,00000000,"26,61",20220923,23
3118963,"14,00","26,00","15,00","17,00","15,00",20220828,20220903,"117,56",20220923,7
2855533,"14,00","23,00","12,00","14,00","12,00",20220815,20220818,"61,260000000000005",20220914,19
