produto;descricao;departamento;nome_departamento
1026305;Rasqueadeira MyHug;3;higiene-limpeza-gatos
1030344;Kit Rolo De Saquinhos Higiênicos Cata Caca Refil;2;higiene-limpeza-cachorros
3130053;Cama Retangular Fábrica Pet Azul;12;casas-camas-cachorros
1021370;Bola Gato Luz Espinho Jambo Laranja;6;brinquedos-gatos
3126025;Petisco DogLicious Snacks T-Bone;1;petiscos-cachorros
3147183;Maxxi Água Viva Mini YS-1502O Laranja;7;peixes
3137436;Kit Casco de Boi 100% Natural para Cães;11;brinquedos-cachorros
3093609;NexGard Spectra Antipulgas e Vermífugo Cães 7,6 kg a 15 kg;13;medicamentos-cachorros
3103315;Ração para Canários Vita Vermelha Pássaro Forte;4;passaros
3151185;Ração Naturalis Gatos Adultos Castrados Salmão e Frutas;8;racoes-gatos
3129815;Ração Magnus Original Para Cães De Pequeno Porte;10;racoes-cachorros
3114308;Petisco Biscoito Joy Cook Mini Frango;1;petiscos-cachorros
3145487;Enfeite Caravela Envelhecida Trema;7;peixes
3127459;Ração Úmida Hill's Prescription Diet A/D Cães e Gatos em Condições Críticas;8;racoes-gatos
3134909;Magnus Premium 25Kg Todo Dia Cães Adultos Sabor Carne;10;racoes-cachorros
3145615;Cama Europa Zost Pet;12;casas-camas-cachorros
3144659;Brinquedo Polvo C-Pet;11;brinquedos-cachorros
1018387;Banho a Seco Collie Vegan;2;higiene-limpeza-cachorros
1024631;Kit Bolinhas Coloridas Futebol para Gatos Jambo;6;brinquedos-gatos
1028495;Bandeja Higiênica Alvorada Rosa;3;higiene-limpeza-gatos
3108775;Fortekor Insuficiência Cardíaca e Renal;13;medicamentos-cachorros
3108746;Girassol Comum Sempre Vita;4;passaros
3150083;Kit Comedouro Para Gaiola Hamster E Roedores 60Ml;4;passaros
1033848;Shampoo Banho de Gato Procão;3;higiene-limpeza-gatos
909195;Brinquedo Gato Pena 44Cm Western Pet;6;brinquedos-gatos
3071217;Brinquedo Coelho Látex C-Pet Azul;11;brinquedos-cachorros
3098735;Cama Pet Para Cachorro E Gato Lavável Patinha;12;casas-camas-cachorros
3129771;Antipulgas Simparic 5 a 10kg Cães 20mg;13;medicamentos-cachorros
3134829;Petisco Snack Entrebife Cadet Gourmet;1;petiscos-cachorros
1032032;Não Pode Vaso e Jardim Granulado Petmais;2;higiene-limpeza-cachorros
2989427;Ração Guabi Natural Gatos Adultos Castrados Cordeiro e Aveia;8;racoes-gatos
2915387;Refil Esponja para Filtro Maxxi Power HF-60;7;peixes
2939543;Ração N&D Quinoa Cães Adultos Digestion Cordeiro;10;racoes-cachorros
1002079;Alicate de Unha Guilhotinha HomePet;2;higiene-limpeza-cachorros
3147709;Dolemil Pomada Bis Jofadel;4;passaros
3100448;Petisco DogLicious Snacks Chicken;1;petiscos-cachorros
3118024;Condroplex 1000 Suplemento Avert para Cães e Gatos;13;medicamentos-cachorros
1024700;Brinquedo Ratinho Sisal Meow & Me;6;brinquedos-gatos
3144162;Pelúcia Animais Lagosta Para Pet;11;brinquedos-cachorros
1033596;Areia Higiênica ProGato Clássica Multigãos Perfumada;3;higiene-limpeza-gatos
3147514;Mídia Biológica Cerâmica Bio Ring Hjs-30 Sun Sun 420g;7;peixes
3132128;Ração N&D Prime Cães Adultos Maxi Cordeiro;10;racoes-cachorros
854511;Tapete Gelado Azpr;12;casas-camas-cachorros
3141759;Ração Úmida Three Cats Patê Castrados Frango;8;racoes-gatos
3141479;Brinquedo Gato Flying Cat Fio de Nylon;6;brinquedos-gatos
1033147;Granulado Sanitário para Gatos Cafuné;3;higiene-limpeza-gatos
3109266;Casinha Para Passarinho Tratadouro Bel Rústicos;12;casas-camas-cachorros
3142376;Pelúcia Animais Caranguejo Para Pet - Oikos Animal;11;brinquedos-cachorros
3136506;Refil Filtro Externo Leecom Esponja;7;peixes
3131670;Ração Vet Life Natural Gastrointestinal para Cães;10;racoes-cachorros
3132166;Antipulgas e Carrapatos Frontline Plus Cães entre 20 e 40 kg;13;medicamentos-cachorros
3138814;Gaiola Pássaros Arco Top Master Mônaco Verde;4;passaros
3134012;Biscoito Pedigree Biscrok Cães Filhotes;1;petiscos-cachorros
3141039;Ração Úmida N&D Feline Quinoa Skin Arenque e Coco;8;racoes-gatos
1022425;Shampoo Condicionador para Cães e Gatos 2 em 1 Petbrilho 500ml;2;higiene-limpeza-cachorros
1034869;Granulado Higiênico Aglomerado ProGato Premium;3;higiene-limpeza-gatos
3100447;Petisco DogLicious Bone Carne;1;petiscos-cachorros
3133993;Ração Para Aves Ornamentais Galo De Ouro;4;passaros
3146441;Ração Úmida Reability Inovet;8;racoes-gatos
3094349;Arranhador Para Gatos Sustentável Luppet Com Bolinhas Rosa;6;brinquedos-gatos
3113477;Cama Flicks Ossinho Bege;12;casas-camas-cachorros
3120352;Ração Royal Canin Yorkshire Terrier Puppy;10;racoes-cachorros
1026544;Creme Hidratante para Focinhos Pet Clean;2;higiene-limpeza-cachorros
3100157;Mordedor Corda Bola Vermelho Kelev;11;brinquedos-cachorros
3097591;Otomax;13;medicamentos-cachorros
3147094;Enfeite Planta Plástica Lester Laranja;7;peixes
1031388;Banho A Seco Para Cães E Gatos Oikos Animal;3;higiene-limpeza-gatos
3144734;Toca Para Cachorro Gato Caminha Abstrato Azul;12;casas-camas-cachorros
2988827;Brinquedo Osso Rex Pequeno Animania Verde;11;brinquedos-cachorros
1025228;Tapetes Higiênicos Confort Pads 80X60Cm;2;higiene-limpeza-cachorros
2947674;Petisco Keldog Kelbits de Picanha Kelco;1;petiscos-cachorros
2998383;Bastão de Sementes Para Calopsita Tamanho Família;4;passaros
3088394;Ração Purina Kanina Para Cães Filhotes Carne e Cereais;10;racoes-cachorros
2957018;Catnip Chalesco;6;brinquedos-gatos
3130075;Ração Úmida Royal Canin Satiety Gatos Adultos;8;racoes-gatos
3139284;Poytara Black Line Kinguio Sinking;7;peixes
3126065;Nexgard Antipulgas e Carrapatos para Cachorros de 2 a 4kg;13;medicamentos-cachorros
1020987;Arranhador Para Gatos Canto De Sofá Sustentável Luppet Marrom;6;brinquedos-gatos
3133655;Petisco Snack Prensadinho Natural Cadet Gourmet;1;petiscos-cachorros
3093073;Shampoo Cloresten Antifúngico e Bacteriano Dr.Clean Cães e Gatos;13;medicamentos-cachorros
3148795;Bastão de Sementes Para Papagaio Arara Prefere;4;passaros
3126736;Brinquedo Halteres Cravejado Pequeno Com Corda Animania Azul;11;brinquedos-cachorros
3094106;Refil Filtro Atman HF-0100;7;peixes
3131551;Ração Royal Canin Maltês Cães Adultos;10;racoes-cachorros
3128471;Ração Royal Canin Gatos Adultos Premium Cat Vitalidade;8;racoes-gatos
1027492;Rasqueadeira Premium Oval MyHug;3;higiene-limpeza-gatos
1022424;Colônia Beeps Melão Pet Society 60 ml;2;higiene-limpeza-cachorros
3072804;Cama de Cachorro Impermeável Lola Lousa Rose;12;casas-camas-cachorros
2977177;Ração Nutricon Bottom Fish;7;peixes
3144570;Petisco Bifinho Churrasco Xis Dog;1;petiscos-cachorros
2851673;Cama Listra Azul Fábrica Pet;12;casas-camas-cachorros
3151426;Arranhador Para Gatos Sustentável Luppet Com Bolinhas Marrom;6;brinquedos-gatos
1028445;Luva Tira-Pelos MyHug;3;higiene-limpeza-gatos
3146490;Brinquedo Látex Latoy Coruja Biel;11;brinquedos-cachorros
1022256;Perfume Deo Colônia Macho Procão;2;higiene-limpeza-cachorros
2994988;Ninho Manon Mokoi;4;passaros
3119444;Vermífugo Endogard Cães até 30kg;13;medicamentos-cachorros
3104373;Ração Gran Plus Choice Frango e Carne Cães Adultos;10;racoes-cachorros
3095891;Ração Naturalis Gatos Adultos Castrados Peru e Frango;8;racoes-gatos
2998525;Ração Nutrópica Seleção Natural Calopsitas;4;passaros
3000096;Petisco Bifinho Carne e Vegetais Kelco Keldog;1;petiscos-cachorros
3108020;Casa Muvuca Dog Lar Azul;12;casas-camas-cachorros
3071473;Osso Extra Forte Maciço de Borracha LCM;11;brinquedos-cachorros
1028487;Deo Colônia Gatos Pussy Bellogatto;3;higiene-limpeza-gatos
3131591;Ração Equilíbrio Veterinário Cães Hipoalergênico;10;racoes-cachorros
3128857;Panolog Pomada Auricular;13;medicamentos-cachorros
1029747;Tapete Higiênico Duo Dia Petmais;2;higiene-limpeza-cachorros
3126118;Ração Goldfish Crescimento Nutricon;7;peixes
1031162;Arranhador Poste Grande Caramelo;6;brinquedos-gatos
1030727;Escova Massageadora para Banho Azul;3;higiene-limpeza-gatos
3118362;Casinha Pinus Mokoi;12;casas-camas-cachorros
3122536;"Osso 4"" LL Pet";1;petiscos-cachorros
3114644;Antibiótico Doxitrat Cães e Gatos 80mg;13;medicamentos-cachorros
3146335;Bola Dog Maciça LCM;11;brinquedos-cachorros
